,Text
00:00:00, okay hi everybody I'm Jeremy and this is the first of our answer AI developer
00:00:08, chats where I guess we have two audiences one is our fellow R&D Folks at
00:00:16, answer. who hopefully this will be a useful little summary of what we've been working on for them but we thought we'd
00:00:21, also make it public because why not that way everybody can see it so we've got
00:00:26, jonno here we've got Alexis here we've got Griffin here hi all hey um and we're going to be
00:00:34, talking about a new library I've been working on called
00:00:40, Claudette which is claude's friend um
00:00:46, and jonno's been helping me a bit with the library but he's going to I think largely Fain ignorance about it today in
00:00:52, order to be an interviewer to attempt to extract all its Secrets out of my head
00:00:59, uh does that sound about right jonno I think so yeah okay I'm ready when you
00:01:05, are cool well maybe um we should start with J Pull up the the landing page and
00:01:12, then I think there's a few different directions that I'd love to hear from you one is you know the specifics of
00:01:18, this Library how does it work um but maybe also since especially this is the first like developer chat and preview uh
00:01:24, we can also go into some of the Met questions of like when does this when does something become a library like this um how's it built uh what's the
00:01:31, motivation etc etc sounds good all right
00:01:36, so here we are the landing page so it's a GitHub repo it's a public
00:01:44, repo and in the top right is a link to the
00:01:50, documentation uh and the documentation that you see here the index is identical
00:01:55, to the readme um but it's better to read it here because it a bit
00:02:02, better cool fantastic and this is a library that people can p install um y
00:02:07, exactly here it is hip and store claudet and you can just follow
00:02:14, along hopefully when you type the things in here it'll you'll get the same thing
00:02:20, um or you could um uh so the that that main page is
00:02:28, actually also an index. P andb so you could also uh open that up
00:02:34, in cab for example and if you don't want to install it locally should all work
00:02:39, fine cool so I'll start with the big question which is uh why does this exist what what is the point of this um this
00:02:45, library in a in a nutshell okay so um by way of background
00:02:53, um I I started working on for a couple of reasons one is just um
00:03:01, I feel like felt like still feel a bit like Claude is a bit underrated and
00:03:07, under appreciated I think most people use open AI because that's kind of what
00:03:12, we're used to and it's pretty good um and and with 40 it's just got better um
00:03:18, but claude's also pretty good and the nice thing about some of these models
00:03:24, now with also Google there is they all have their things they're better at and things that they're worse at so for
00:03:30, example I'm pretty interested in in Haiku and in in Google's flash
00:03:38, um they both seem like pretty capable models that maybe they don't know about
00:03:43, much but they're but they're pretty good at doing stuff and so they might be good with retrieval which is where you can
00:03:50, like help it with not knowing stuff um so yeah it's was pretty interested particularly in playing with Haiku um
00:03:57, and then a second reason is just I I did this video called a hackers
00:04:03, guide to llms last year and I just recorded it for a conference really just
00:04:09, to help out a friend to be honest um and I put it up online publicly because I do
00:04:14," that for everything and it became kind of to my surprise my most popular video ever it's about to hit 500,000 views um"
00:04:22, and one of the things I did in that was to say like oh look you can create something
00:04:28, that like has the kind of behavior you're used to seeing and things like Constructor and
00:04:34, Lang chain and whatever else in a dozen lines of code so like you don't have to
00:04:40, always use big complex Frameworks a lot of people said to me like oh that's it's I would love to be able to use a library
00:04:46, that that's that small so I don't have to like copy and paste yours and so I thought like yeah okay I'll I'll try and
00:04:51, like build something that's super simple you know very kind of
00:04:58, transparent minimum kind of number of abstractions um that people can use and
00:05:04, that way they still don't have to write their own but they also don't have to feel like it's a mysterious thing so
00:05:09, yeah so Claudette is designed to be this like uh fairly
00:05:16, minimal you know like no really very few abstractions or weird new things to learn take advantage of like just python
00:05:24, stuff um for CLA um but also to be yeah
00:05:29, pretty capable and and pretty convenient cool you think it would be
00:05:36, fair to say that this is more replacing the maybe more of a Bose code that we've copied and pasted from our own
00:05:42, implementations a few times versus introducing too many like completely new abstractions is that the kind of level that it's yeah I think like a lot of
00:05:48, people got their start with llms using stuff like Lang
00:05:54, chain which I think is a really good way to get started in some ways and that you can like it's got good documentation and
00:06:00, good demos but a lot of people kind of come away feeling like I don't really know what it's doing
00:06:07, you know and I don't really know how to improve it and I don't feel like I'm really learning at this point you know
00:06:12, and also like I don't really know how to use all my knowledge of python to build on top of this because it's a whole new
00:06:18, set of abstractions so partly it's kind of for those folks to be like okay
00:06:24, here's here's how you can do things a bit closer to the Bone without doing everything yourself from scratch and or
00:06:31, for people who are already reasonably capable python programmers feel like
00:06:36, okay I want to leverage that jump into LMS and leverage my existing programming knowledge this is a path that doesn't
00:06:43, involve first learning some big new framework full of lots of abstractions and tens of thousands of lines of code
00:06:49, to something with like I don't know what it is maybe a couple of hundred lines of code um all of which
00:06:55, is super clear and documented and you know you can see step by step exactly what it's
00:07:01, doing cool well that sounds that sounds good uh do you want to start with like a demo of what it does or do you want to start straight with those 100 lines of
00:07:07, code and and step us through it you know what I'm inclined normally I'd say do the demo but I'm actually inclined to
00:07:14, step through the code because the code's a bit as you know uh weird in that the
00:07:21, code is like so if you click on claudet Source we can read the source
00:07:28, code this is a source code it doesn't look like most source code and that's because um I tried
00:07:36, something slightly different to what I've usually done in the past which I've tried to create a truly literate
00:07:42, program um so the source code of this is something that we can and will read top to bottom and uh um you'll see the
00:07:50, entire implementation but it also is designed to teach you about what you know the API it's
00:07:57, building on top of and the things that it's doing to build on top of that and so forth so I think the best way to show
00:08:03, you what it does is to also show you how it does it so I'm here in a notebook and so uh
00:08:12, that uh source code we were viewing was just the thing called quto which is a
00:08:19, blogging platform that amongst other things can render notebooks so we're just seeing the rendered version of this notebook um
00:08:27, and so the bits that you see in Gray our code cells in the
00:08:37, notebook here's this code cell here's this code cell
00:08:44, um and then you'll see some
00:08:50, bits that have this little exported Source thing here which you can close
00:08:55, and open you can close them all at once from this menu here hide all code and that basically will get rid of all
00:09:01, the bits that are actually the source code of the model and all you'll be left with is the examples right um and if we
00:09:08, say show or code then you can see yeah this is actually part of the source code and so the way that
00:09:14, works is um these things that they say exports so this is bits that actually
00:09:20, becomes part of the library itself okay so
00:09:26, um the idea of this notebook is like yeah as I said as well as being the entire source code of the library it's
00:09:32, also like by stepping through it we'll see how Claude works and so Claude has
00:09:39, three models uh Opus Sonet and Haiku so we just Chuck them into an into a list
00:09:45, so that anybody now who's using claudet can see the models in it and so the way
00:09:51, we can see how to use it is if is that the readme in
00:09:58, um uh um and the homepage um again is actually a rendered version of this of a
00:10:04, notebook and it's called index. APB and so we we can import from claudet
00:10:10, and so you can see for example if I say models it shows me the same models
00:10:15, that came from here okay so that's how these work it ends up as part of this flaw DEET
00:10:21, notebook um so that's the best Flo bottle middle worst but I like using this one
00:10:29, one hiu because it's really fast and really cheap and I think it's interesting to experiment with like how much more you can do with these fast
00:10:35, cheap models now um so that's the one I thought we try
00:10:42, out um any questions or comments so far from
00:10:48, anybody I guess so far this is like there's no reason you couldn't just write the full name of the model every
00:10:53, time like a lot of people do and if a new one comes out that's you can do that um but this is just trying to make it
00:10:59, like as smooth as possible even to these tiny little details right yeah I don't want to have to remember these things
00:11:05, and obviously I wouldn't remember those dates or whatever so otherwise I could copy and paste them um but yeah I find
00:11:11, i' I've been enjoying I've been using this for a few weeks now um once it got to a reasonably usable point and
00:11:17, definitely this tiny minor thing is something I found nice is to not have to think about model names over again and
00:11:23, also know that it goes like best middle worst so I don't even have to you know I just go straight to like okay worst one
00:11:31, cool um so they provide a an SDK anthropic so their um SDK gives you this
00:11:41, anthropic class you could import from so you can pip install it if you pip install claudet you'll get this for free
00:11:48, um so I think like it's nice if you're going to show somebody how to use your code
00:11:56, you should first of all show how to use the things that your code uses so in this case basically the thing we use is
00:12:01, the anthropic SDK so let's use it okay so the way it works is that you create
00:12:09, the client and then you call messages. create and then you pass in some
00:12:15, messages so I'm going to pass in a message I'm Jeremy uh each message has a role of
00:12:22, either user or assistant and in fact they always this is like if you think
00:12:28, about it it's actually unnecessary because they always have to go user assistant user assistant user assistant
00:12:34, you know um so if you pass in the wrong one you get an error so strictly
00:12:39, speaking they're kind of redundant so in this case and they're just dictionaries right so I'm going to
00:12:45, pass in a list of messages it contains one message it's a user message so this is something I've said where else the
00:12:51, assistant is something the model said and it says I'm Jeremy and then you tell it what model to use and then you can
00:12:57, pass in various other things um um as you can see there's a number of
00:13:05, other things that you can pass in like a system prompt stop sequences and so forth um and you can see here they
00:13:11, actually they check for what kind of model you want um so if I go ahead and run
00:13:19, that I get back a message and so messages can be dictionaries or they can
00:13:26, also be like certain types of object and on the whole it doesn't really matter
00:13:31, which you choose when you build them it's easier just to make them dictionaries so a message has an ID I
00:13:37, haven't used that for anything really and it tells you what model you used now this one's got a role of
00:13:43, assistant um and it's a message and it tells you
00:13:49, how many tokens we used uh if you're not sure what tokens
00:13:54, are you know and kind of Basics like that then check out this hacker guide language models you know where I explain
00:14:02, all those kinds of Basics um but the main thing is the
00:14:07, content right and the content is text it could also reply with images for instance so this is text and the text is
00:14:16, that's what it has to say for me okay so that's that's basically how it works
00:14:22, it's a nice simple API design I really like it uh the the the open AI one is
00:14:29, more complicated to work with because they didn't decide on this basic idea of like oh user assistant user
00:14:35, assistant okay so one thing I really like question yeah hit me so one thing I
00:14:42, know and uh sure lots of other people do as well is that often when you interact with an assistant you provide a system
00:14:49, message or guidance about how the assistant should see their role here you
00:14:55, didn't you just started right off with a yeah role from yourself as a user is that because the API or this Library
00:15:02, already starts with a default uh guidance to the assistant not there's a system prompt here okay and the default
00:15:08, is not given so um yeah language models
00:15:13, are perfectly happy to talk to you without a system prompt just means
00:15:19, they're you know they have they have no extra information but they went through
00:15:24, instruction fine tuning and rhf you know some of those examples would have had no system problem so they they know how to
00:15:30, they have some kind of default personality if you like yeah cool thanks um okay so I
00:15:39, always think like my notebook is both where I'm working so I want it to be like clear
00:15:44, and simple to use and I also know it's going to end up rendered as our documentation and as our kind of
00:15:50, rendered source so I I don't really want things to look like this so the first thing I did was to
00:15:57, format the output um so here is part of the API this is
00:16:02, exported um so the first thing I wanted to do was just like find the content in
00:16:10, here um and so they uh and so there's a number this is an array as you can see
